Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,TerminationType,TerminationDescription
51,No,Travel_Rarely,Sales,6,2,Life Sciences,1,Female,1,Healthcare Representative,Married,131160,1,11,0,1,6,1,0,0,Unk,
31,Yes,Travel_Frequently,Research & Development,10,1,Life Sciences,2,Female,1,Research Scientist,Single,41890,0,23,1,6,3,5,1,4,Unk,
32,No,Travel_Frequently,Research & Development,17,4,Other,3,Male,4,Sales Executive,Married,193280,1,15,3,5,2,5,0,3,Unk,
38,No,Non-Travel,Research & Development,2,5,Life Sciences,4,Male,3,Human Resources,Married,83210,3,11,3,13,5,8,7,5,Unk,
32,No,Travel_Rarely,Research & Development,10,1,Medical,5,Male,1,Sales Executive,Single,23420,4,12,2,9,2,6,0,4,Unk,
46,No,Travel_Rarely,Research & Development,8,3,Life Sciences,6,Female,4,Research Director,Married,40710,3,13,0,28,5,7,7,7,Unk,
28,Yes,Travel_Rarely,Research & Development,11,2,Medical,7,Male,2,Sales Executive,Single,58130,2,20,1,5,2,0,0,0,Involuntary,Me see picture nature degree benefit.
29,No,Travel_Rarely,Research & Development,18,3,Life Sciences,8,Male,2,Sales Executive,Married,31430,2,22,3,10,2,0,0,0,Involuntary,Blue community type skill story.
31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,9,Male,3,Laboratory Technician,Married,20440,0,21,0,10,2,9,7,8,Unk,
25,No,Non-Travel,Research & Development,7,4,Medical,10,Female,4,Laboratory Technician,Divorced,134640,1,13,1,6,2,6,1,5,Resignation,Summer personal bag.
45,No,Travel_Rarely,Research & Development,17,2,Medical,11,Male,2,Laboratory Technician,Married,79910,0,13,2,21,2,20,4,10,Unk,
36,No,Travel_Rarely,Research & Development,28,1,Life Sciences,12,Male,1,Laboratory Technician,Married,33770,0,12,2,16,2,15,10,11,Retirement,Alone once than. More condition pay far.
55,No,Travel_Rarely,Research & Development,14,4,Life Sciences,13,Female,1,Sales Executive,Single,55380,0,17,0,37,2,36,4,13,Involuntary,Foot in theory minute recognize test.
47,Yes,Non-Travel,Research & Development,1,1,Medical,14,Male,1,Research Scientist,Married,57620,1,11,2,10,4,10,9,9,Resignation,Degree wish science when thing week old.
